Gen_ACCESSCMT	Gen_COMMENTS	s_Generation	s_GUID	s_Lineage	ACCESSION	PARA_SPEC	PARA_GENUS	HOST_SPEC	HOST_GENUS	CLASS	BODY_LOC	HOSTTAXON	ORIGFLDNO	MUSEUMNO	FIXATIVE	STAINS	MOUNTANT	LOCAL_GEO	LOCAL_POL	LOCAL_MAP	LATDEG	LATMIN	LATSEC	LATDIR	LONGDEG	LONGMIN	LONGSEC	LONGDIR	TYPE_STAT	STORAGE_NO	COLLECTOR	COLL_DATE	IDENTIFIER	IDENT_DATE	DONOR	BORROWER	LOAN_DATE	Create_D	STAGE	SEX	COMMENTS	ACCESSCMT
			{55CD5731-CA07-4DC8-9974-2B3D7B8608D3}		107326	POLARE	PLASMODIUM (GIOVANNOLAIA)	INTERMEDIA	MESOPHOYX	PROTOZOA	erythrocyte					Giemsa 20%		ASIA	Bangladesh,Sylhet & Moulivibazar dist.		21	33	41	N	91	51	40	W	VOUCHER	SH232:7-8	PAUL, Suman Kumer	16-Mar-11	ELAHI, Aem Rubayet	24-Oct-13	492	0		10/28/13	Trophozoite		1 slide, voucher.  Host: intermediate egret.  Locality: Hakaluki Haor (wet marsh land).	
			{51324F59-AF26-425E-9E95-0BB76D5EA372}		94408		PLASMODIUM (GIOVANNOLAIA)	VOCIFER	HALIAEETUS	PROTOZOA	BLOOD		SHollamby-ML8		Methanol (abs)	Giemsa		AFRICA	UGANDA,Lake Mburo		0	39	0	S	30	57	0	E	VOUCHER	130A-25	HOLLAMBY, S	9-Aug-02	STUHT, J	23-Jan-04	212	0		1/28/04			1 slide. Giemsa stain.  SHollamby-ML8, female African fish eagle.  Pub. Jour Wdlf Disease: in press.	
			{2DD111BF-7EFF-4274-9D59-21519EE787FB}		105650.03		PLASMODIUM (HAEMAMOEBA)			PROTOZOA			Valkiunas-No 48605 NS					EUROPE (Baltic Sea)	Lithuania,Curonian Spit		55	5	0	N	20	44	0	E	VOUCHERS	SH231:25-7	Palinauskas, V & Krizanauskiene, A	19-May-11	VALKIUNAS, Gediminas	10-May-12	302	0		5/22/12	Protozoan Stage		ADDITIONAL SPECIES: 1 slide, vouchers.  Valkiunas-No 48605 NS.  Also present: Plasmodium Haemamoeba) sp., Plasmodium sp., Haemoproteus pallidus, and H. balmorali ookinetes in vitro, 24 hrs.	
			{2A7BE2E9-A1A5-4F2E-98B0-2F72CDF9FA18}		105651.03		PLASMODIUM (HAEMAMOEBA)			PROTOZOA			Valkiunas-No 48606 NS					EUROPE (Baltic Sea)	Lithuania,Curonian Spit		55	5	0	N	20	44	0	E	VOUCHERS	SH231:25-8	Palinauskas, V & Krizanauskiene, A	28-May-11	VALKIUNAS, Gediminas	10-May-12	302	0		5/22/12	Protozoan Stage		ADDITIONAL SPECIES: 1 slide, vouchers.  Valkiunas-No 48606 NS.  Also present: Haemoproteus beloploskyi, and H. lanii ookinetes in vitro, 6  hrs.	
			{E2D0E394-E2FE-4DE6-BCDE-460EA8D4A553}		107325	LUTZI	PLASMODIUM (HAEMOAMOEBA)	ATRA	FULICA	PROTOZOA	erythrocyte					Giemsa 20%		ASIA	Bangladesh,Sunamganj dist.		21	33	47	N	91	51	41	W	VOUCHER	SH232:7-7	SHARIFIZZAMAN. Md	13-Mar-11	ELAHI, Aem Rubayet	24-Oct-13	492	0		10/28/13	Trophozoite		1 slide, voucher.  Host: Common coot.  Locality: Tanguar Haor (wet marsh land).	
			{00A21E67-7762-473E-90AD-D59BA5FEF3C9}		107324	RELICTUM	PLASMODIUM (HAEMOAMOEBA)	BENGHALENSIS	ROSTRATULA	PROTOZOA	erythrocyte					Giemsa 20%		ASIA	Bangladesh,Sylhet & Moulivibazar dist.		21	33	41	N	91	51	40	W	VOUCHER	SH232:7-6	RAHMAN, Md. Asadur	17-Feb-11	ELAHI, Aem Rubayet	24-Oct-13	492	0		10/28/13	Trophozoite		1 slide, voucher.  Host: Greater painted snipe.  Locality: Hakaluki Haor (wet marsh land).	
1	1	1	{AAD30752-8A0C-11D2-A88F-0080296707ED}		77457	KEMPI	PLASMODIUM (NOVYELLA)		TURKEY, EASTERN WILD	PROTOZOA	BLOOD							NORTH AMERICA	USA,IA										SYNTYPES	MT23:8 O/P	CHRISTENSEN, B M; BARNES,  ; RAWLEY		CHRISTENSEN, B M; BARNES,  ; ROWLEY,	8-Mar-83		0					sp. n., 2 slides, Syntypes.  Pub. J Wld Dis July 1983.	
1	1	1	{AAD31516-8A0C-11D2-A88F-0080296707ED}		80970	KEMPI	PLASMODIUM (NOVYELLA)	GALLOPAVO SILVESTRIS	MELEAGRIS	PROTOZOA			Host-1055(N19)					NORTH AMERICA	USA,WI										VOUCHER	M1522-23		1-May-84	CASTLE, M	30-Nov-89		0					1 slide.   From sub-inoculation 1055(N19) 5/16/84.  Pub.	
1	1	1	{AAD30F4C-8A0C-11D2-A88F-0080296707ED}		79484		PLASMODIUM (NOVYELLA)	GALLOPAVO INTERMEDIA	MELEAGRIS	PROTOZOA	BLOOD					Giemsa		NORTH AMERICA	USA,TX,SAN PATRICIO CO										VOUCHER	m1468-8	ROCKE, T		CASTLE, M D	20-Oct-86		0					1 slide, Giemsa. Pub. J Wld Dis	
1	1	1	{AAD22D35-8A0C-11D2-A88F-0080296707ED}		8580.01	PARVUM	PLESIOCREADIUM =MACRODEROIDES	OSSEUS	LEPISOSTEUS	DIGENEA	INTESTINE							NORTH AMERICA	USA,CT										SYNTYPES	M347-15	HUNTER, G W, III	1931	HUNTER, G W, III	1931		0					sp. n., 1 slide, Syntypes (2 specimens on slide) from two hosts L. osseus and Amia calva.  Pub  Hunter, 1932, Trans Am Microsc Soc 51-16-21for original description.  See Tkach et al, 2008, Parasitol Res 104:27-33.  See Tkach et al., 2010, J Parasitol 96(5): 1002-1006.	
1	1	1	{AAD22D36-8A0C-11D2-A88F-0080296707ED}		8581.01	PARVUM	PLESIOCREADIUM =MACRODEROIDES	OSSEUS	LELPISOSTEUS	DIGENEA	INTESTINE							NORTH AMERICA	USA,CT										SYNTYPES	M347-16/18	HUNTER, G W, III	1931	HUNTER, G W, III	1931		0					sp. n., 3 slides, Syntypes, 10 um cross sections, from two hosts L. osseus and Amia calva.   Pub Hunter, 1932, Trans Am Microsc Soc 51-16-21 for original description.  See Tkach et al, 2008, Parasitol Res 104:27-33.   Pub Tkach et al., 2010, J Parasitol 96(5): 1002-1006.	
1	1	1	{AAD2A908-8A0C-11D2-A88F-0080296707ED}		50472	ASPER	PNEUMONOECES =HAEMATOLOECHUS	ESCULENTA	RANA	DIGENEA	PULMONARY		HBWard-8.545					EUROPE	GERMANY,LEIPZIG										AUTOTYPE	M855-E			LOOSS, A	17-Nov-08		0					1 vial, Autotype.  HBWard-8.545.  Received from A. Looss, Cairo, Egyp, t17 Nov 1908.	
1	1	1	{AAD32094-8A0C-11D2-A88F-0080296707ED}		51782.02	BREVIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	LENTIGINOSULUS	BUFO	DIGENEA	LUNG		HBWard-33.19, 33.20																VOUCHER	M572-5/6	CORT, W W		CORT, W W			0					ADDITIONAL HOST SPECIES:    HBWard-33.19, 33.20. Two hosts	
1	1	1	{AAD2A909-8A0C-11D2-A88F-0080296707ED}		50473	BREVIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	CATESBEIANA	RANA	DIGENEA	LUNGS		PViosca-23a; HBWard-16.140					NORTH AMERICA	USA,LA,NEW ORLEANS										VOUCHER	M855-F	VIOSCA, P, JR.	11-Mar-16	CORT, WW			0					1 vial, vouchers.  HBWard-16.140; PViosca-23a.	
1	1	1	{AAD2AE2C-8A0C-11D2-A88F-0080296707ED}		51782.01	BREVIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	CLAMITANS	RANA	DIGENEA	LUNG		HBWard-33.19, 33.20																VOUCHER	572-5/6	CORT, W W		CORT, W W			0					2 slides, voucher.  HBWard-33.19, 33.20.   Two hosts	
1	1	1	{AAD26221-8A0C-11D2-A88F-0080296707ED}		32510	COMPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	CLAMITANS	RANA	DIGENEA	LUNG							NORTH AMERICA	USA,MD,BELTSVILLE										VOUCHER	489-15	KRULL, W H	1933	KRULL, W H	1933		0		1/3/95			1 slide, voucher.  Experimental infection 54 dai.	
1	1	1	{AAD26222-8A0C-11D2-A88F-0080296707ED}		32511	COMPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	VICINUM	SYMPETRUM	DIGENEA								NORTH AMERICA	USA,MD,BELTSVILLE										VOUCHER	498-25	KRULL, W H	1933	KRULL, W H	1933		0		1/3/95			1 slide, voucher.   Experimental infection 44 dai.	
1	1	1	{AAD2AE2D-8A0C-11D2-A88F-0080296707ED}		51783	COMPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	PIPIENS	RANA	DIGENEA	MOUTH		HBWard-33.24					NORTH AMERICA	USA,NC,RALEIGH										VOUCHER	572-7	SHAW, L		CORT, W W			0					1 slide, voucher.  HBWard-33.24.	
1	1	1	{AAD2AE2E-8A0C-11D2-A88F-0080296707ED}		51784	LONGIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	PIPIENS	RANA	DIGENEA	LUNG		HBWard-33.23					NORTH AMERICA	USA,WI,MADISON										VOUCHER	572-8	SHAW, L		CORT, W W			0					1 slide, voucher.  HBWard-33.23.	
1	1	1	{AAD23E4C-8A0C-11D2-A88F-0080296707ED}		18567	MEDIOPLEXUS	PNEUMONOECES =HAEMATOLOECHUS		RANA	DIGENEA	LUNGS																		VOUCHER	490-15	CRAWLEY, H	1917	SCHWARTZ, B	JUN 917		0					1 slide, voucher.	
1	1	1	{AAD2A90A-8A0C-11D2-A88F-0080296707ED}		50474	MEDIOPLEXUS	PNEUMONOECES =HAEMATOLOECHUS		FROG, GRASS	DIGENEA	LUNGS		HBWard-22.225					NORTH AMERICA	USA,IL										VOUCHER	M855-G	HARRAH, E C	14-Mar-18	HARRAH, E C			0					1 vial, vouchers.  HBWard-22.225. Tentative species ID	
1	1	1	{AAD2AE2F-8A0C-11D2-A88F-0080296707ED}		51785	MEDIOPLEXUS	PNEUMONOECES =HAEMATOLOECHUS		FROG	DIGENEA	LUNG		HBWard-31.79					NORTH AMERICA	USA,AL										VOUCHER	572-9/11	ANDERSON, H	2-Mar-31	MACFARLANE, S H			0					3 slides, vouchers.  HBWard-31.79.	
1	1	1	{AAD2AE30-8A0C-11D2-A88F-0080296707ED}		51786	MEDIOPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	PIPIENS	RANA	DIGENEA	LUNG		HBWard-33.18																VOUCHER	572-12			CORT, W W			0					1 slide, voucher.  HBWard-33.18.	
1	1	1	{AAD2AE32-8A0C-11D2-A88F-0080296707ED}		51788	MEDIOPLEXUS	PNEUMONOECES =HAEMATOLOECHUS		FROG	DIGENEA	LUNG		HBWard-648																VOUCHER	572-14		05 JUL 1891	CORT, W W			0					1 slide, voucher.  HBWard-648.	
1	1	1	{AAD2AE33-8A0C-11D2-A88F-0080296707ED}		51789	MEDIOPLEXUS	PNEUMONOECES =HAEMATOLOECHUS			DIGENEA			HBWard-14.142																VOUCHER	572-15		1910	CORT, W W			0					1 slide,, voucher.  HBWard-14.142.	
1	1	1	{AAD2AE36-8A0C-11D2-A88F-0080296707ED}		51792	MEDIOPLEXUS	PNEUMONOECES =HAEMATOLOECHUS		FROG	DIGENEA	LUNG		HBWard-17.131,17.141					NORTH AMERICA	USA,IL										VOUCHER	572-18/25; 573-1	SHELFORD, V E		SHELFORD, V E			0					9 slides, vouchers.  HBWard-17.131, 17. 141.	
1	1	1	{AAD26224-8A0C-11D2-A88F-0080296707ED}		32513	NEIVAI	PNEUMONOECES =HAEMATOLOECHUS		LEPTODACTYLUS	DIGENEA	LUNGS		CPereira-342					SOUTH AMERICA	BRAZIL,SAO PAULO										VOUCHER	3026-B	PEREIRA, C	21-Sep-27	VAZ, Z; PEREIRA, C	1930		0					1 vial, voucher.   CPereira-342.	
1	1	1	{AAD33AA4-8A0C-11D2-A88F-0080296707ED}		71492.02	PARVIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	ARMIGERA	PLANORBULA	DIGENEA								NORTH AMERICA	USA,MI										VOUCHER	1065-24&25;1066-1&2;M1211-G	KRULL, W	1929	KRULL, W	1929		0		9/13/95			4 slides, metacercariae, from 3 different hosts.  Genus is syn of Haematoloechus.  Specimens found in LaRue's Collection Jun 30, 1970 by W W Becklund.	
1	1	1	{AAD33AA5-8A0C-11D2-A88F-0080296707ED}		71492.03	PARVIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	OBTRUSUM	SYMPETRUM	DIGENEA								NORTH AMERICA	USA,MI										VOUCHER	1065-24&25;1066-1&2;M1211-G	KRULL, W	1929	KRULL, W	1929		0		9/13/95			4 slides, metacercariae, from 3 different hosts.  Genus is syn of Haematoloechus.  Specimens found in LaRue's Collection Jun 30, 1970 by W W Becklund.	
1	1	1	{AAD22B2F-8A0C-11D2-A88F-0080296707ED}		8085	PARVIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	CLAMITANS	RANA	DIGENEA	LUNG							NORTH AMERICA	USA,MN,LITCHFIELD										TYPE	M325-2	IRWIN, M S	1929	IRWIN, M S	1929		0					sp. n., 1 slide, Type.	
1	1	1	{AAD2EF8A-8A0C-11D2-A88F-0080296707ED}		71492.01	PARVIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	PARVUS	GYRAULUS	DIGENEA								NORTH AMERICA	USA,MI										VOUCHER	1065-24&25;1066-1&2;M1211-G	KRULL, W	1929	KRULL, W	1929		0					4 slides, metacercariae, from 3 different hosts.  Genus is syn of Haematoloechus.  Specimens found in LaRue's Collection Jun 30, 1970 by W W Becklund.	
1	1	1	{AAD2EF8B-8A0C-11D2-A88F-0080296707ED}		71493	PARVIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS		FROG	DIGENEA								NORTH AMERICA	USA,MI										VOUCHER	1065-18thru23	KRULL, W	1929	KRULL, W	1929		0					6 slides.  Genus is syn of Haematoloechus.  Specimens found in LaRue's Collection June, 30, 1970 by W W Becklund	
1	1	1	{AAD2AE34-8A0C-11D2-A88F-0080296707ED}		51790	SIMILIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	PIPIENS	RANA	DIGENEA	LUNG		HBWard-33.22					NORTH AMERICA	CANADA,MAN,WINNIPEG										VOUCHER	572-16	CORT, W W		CORT, W W			0					1 slide, voucher.  HBWard-33.22.	
1	1	1	{AAD2AE35-8A0C-11D2-A88F-0080296707ED}		51791	SIMILIPLEXUS	PNEUMONOECES =HAEMATOLOECHUS	PIPIENS	RANA	DIGENEA	LUNG		HBWard-33.21					NORTH AMERICA	USA,IN,NORTH JUDSON										VOUCHER	572-17			CORT, W W			0					1 slide, voucher.  HBWard-33.21.	
1	1	1	{AAD2A90C-8A0C-11D2-A88F-0080296707ED}		50476	VARIEGATUS	PNEUMONOECES =HAEMATOLOECHUS	ESCULENTA	RANA	DIGENEA	PULMONARY		HBWard-8.566					EUROPE	GERMANY,LEIPZIG										AUTOTYPE	M856-B			LOOSS, A	17-Nov-08		0					1 vial,  Autotype.   HBWard-8.566. Received from A. Looss, Cairo, Egyp, t17 Nov 1908.	
1	1	1	{AAD3452D-8A0C-11D2-A88F-0080296707ED}		12009		PNEUMONOECES =HAEMATOLOECHUS		RANA	DIGENEA	LUNG							NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	P131-A	BROWN, G	10-Oct-23	STILES, C W	10-Oct-23		0		4/9/97			1 vial, voucher.	
1	1	1	{AAD3452E-8A0C-11D2-A88F-0080296707ED}		12010		PNEUMONOECES =HAEMATOLOECHUS		RANA	DIGENEA	LUNG							NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	P131-B	ORLEMAN, M B	11-Oct-23	STILES, C W	11-Oct-23		0		4/9/97			1 vial, voucher.	
1	1	1	{AAD34532-8A0C-11D2-A88F-0080296707ED}		12014		PNEUMONOECES =HAEMATOLOECHUS		RANA	DIGENEA	LUNG							NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	P131-F	SPEER, A J	7-Nov-23	STILES, C W	31-Jan-24		0		4/9/97			1 vial, vouchers.	
			{78A0237A-24EC-4BC3-8315-6F9A9E47B388}		97866		PNEUMONOECES =HAEMATOLOECHUS	PIPIENS	RANA	DIGENEA	lung		Lincicome-17		Gilson's	Hematoxylin	Canada balsam	NORTH AMERICA	USA,NJ					N				W	VOUCHERS	SH85:10-77/79	LINCICOME, D R	12-Feb-36	LINCICOME, D R	22-Feb-36	0	0		4/19/06			3 slides, vouchers.   DRLincicome-17.  Erhlich's hematoxylin. .	
			{B020A1E8-0CE3-48B7-8E41-EDF97CFB6720}		97870		PNEUMONOECES =HAEMATOLOECHUS	PIPIENS	RANA	DIGENEA	lung		Lincicome-24.1-4		Gilson's	H&E/Hematoxylin	Canada balsam	NORTH AMERICA	USA,NJ					N				W	VOUCHERS	SH85:10-85/88	LINCICOME, D R	28-Feb-36	LINCICOME, D R	29-Mar-36	0	0		4/19/06			4 slides, vouchers.   DRLincicome-24.1-.4.   Delafields & Erhlich's hematoxylin, H&E.   2 of the slides mounted 3/29/35, 1 slide mounted 4/4/36; 1 slide mounted 4/12/36.	
			{F69B02D1-B123-46C1-B3D9-A296FE0F581F}		97869		PNEUMONOECES =HAEMATOLOECHUS	PIPIENS	RANA	DIGENEA	lung		Lincicome-81.1-.2			Hematoxylin	Canada balsam	NORTH AMERICA	USA					N				W	VOUCHERS	SH85:10-83/84	MATTOX, N T	16-Feb-37	LINCICOME, D R	22-Feb-36	0	0		4/19/06			2 slides, vouchers.  DRLincicome-81.1, 81 .2.	
1	1	1	{AAD23423-8A0C-11D2-A88F-0080296707ED}		11191		PNEUMONOECES =HAEMATOLOECHUS		FROG	DIGENEA								NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	821-23; P104-A	BARTSCH, P	Apr-16	STILES, C W	8-Jun-16		0					1 slide, 1 vial, vouchers.  Material poor.	
1	1	1	{AAD253D8-8A0C-11D2-A88F-0080296707ED}		28841		PNEUMONOECES =HAEMATOLOECHUS		RANA	DIGENEA								NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	498-2	CHAPIN, E A		CHAPIN, E A			0			Eggs		1 slide, vouchers, eggs.	
1	1	1	{AAD2AE37-8A0C-11D2-A88F-0080296707ED}		51793		PNEUMONOECES =HAEMATOLOECHUS		FROG	DIGENEA	LUNG		HBWard-31.65																VOUCHER	573-2	NICKERSON, W S		HOPKINS, S H			0					1 slide, voucher.  HBWard-31.65.	
1	1	1	{AAD2B1B0-8A0C-11D2-A88F-0080296707ED}		54987		PNEUMONOECES =HAEMATOLOECHUS	PIPENS	RANA	DIGENEA	LUNGS		GRLaRue-590b					NORTH AMERICA	USA,MI,Douglas Lake,S. Fishtail Bay										VOUCHER	SH66-16	LA RUE, G R	15-Jul-17	LA RUE, G R			0					1 vial, vouchers.  GRLaRue-590b.	
1	1	1	{AAD2C255-8A0C-11D2-A88F-0080296707ED}		59141		PNEUMONOECES =HAEMATOLOECHUS	CATESBEIANA	RANA	DIGENEA	LUNG							NORTH AMERICA	USA,LA,NEW ORLEANS										VOUCHER	690A-9	WEHR, E E					0					1 slide, voucher.   Host: bullfrog.	
1	1	1	{AAD2C276-8A0C-11D2-A88F-0080296707ED}		59171		PNEUMONOECES =HAEMATOLOECHUS		FROG	DIGENEA	LUNG																		VOUCHER	688A-11	WEHR, E E					0					1 slide, voucher.	
1	1	1	{AAD2C279-8A0C-11D2-A88F-0080296707ED}		59175		PNEUMONOECES =HAEMATOLOECHUS	CATESBEIANA	RANA	DIGENEA	LUNG							NORTH AMERICA	USA,LA,NEW ORLEANS										VOUCHER	688A-13	WEHR, E E					0		2/21/96			1 slide, voucher. Host: bullfrog.	
1	1	1	{AAD2C27E-8A0C-11D2-A88F-0080296707ED}		59180		PNEUMONOECESPNEUMONOECES =HAEMATOLOECHUS	CATESBEIANA	RANA	DIGENEA	LUNG							NORTH AMERICA	USA,LA,NEW ORLEANS										VOUCHER	688A-17/19	WEHR, E E					0		2/21/96			3 slides, vouchers.   Host: bullfrog.	
1	1	1	{AAD2FD7C-8A0C-11D2-A88F-0080296707ED}		75004	ISRAELENSIS	PODOCOTYLE (PEDUNCULOTREMA)	INCISUS	POMADASYS	DIGENEA	SM INTESTINE		JHFischthal-84					ASIA	ISRAEL,HAIFA										HOLOTYPE/PARATYPE	MT21:14 N	FISCHTHAL, J H	27-Jun-77	FISCHTHAL, J H	25-Dec-78		0					sp. n. 1 slide, Holotype (circled), 1 Paratype.  JHFischthal-84.	
1	1	1	{AAD2FD7D-8A0C-11D2-A88F-0080296707ED}		75005	ISRAELENSIS	PODOCOTYLE (PEDUNCULOTREMA)	INCISUS	POMADASYS	DIGENEA	SM INTESTINE		JHFischthal-25, 2					ASIA	ISRAEL,TEL-BARUCH										PARATYPES	MT21:14 O/P; MT35:21-1/6	FISCHTHAL, J H	16-May-77	FISCHTHAL, J H	25-Dec-78		0					sp. n., 8 slides, Paratypes.  JHFischthal-25, 2.	
1	1	1	{AAD2FD7E-8A0C-11D2-A88F-0080296707ED}		75006	ISRAELENSIS	PODOCOTYLE (PEDUNCULOTREMA)	INCISUS	POMADASYS	DIGENEA	SM INTESTINE		JHFischthal-42,59,64,65,104,105,112					ASIA	ISRAEL,JAFFA										PARATYPES	MT21:14 Q;MT35:20; MT35-21-1/2	FISCHTHAL, J H	7-Jul-77	FISCHTHAL, J H	25-Dec-78		0					sp. n., 23  slides, Paratypes.  JHFischthal-18, 42, 59, 64, 65, 104, 105, 112.   MT35:20-1/20; MT25-21-1/2.	
1	1	1	{AAD2FD7F-8A0C-11D2-A88F-0080296707ED}		75007	ISRAELENSIS	PODOCOTYLE (PEDUNCULOTREMA)	QUADRILINEATUS	PELATES	DIGENEA	CECA		JHFischthal-73					ASIA	ISRAEL,JAFFA										PARATYPE	MT21:14 R	FISCHTHAL, J H	1977	FISCHTHAL, J H	25-Dec-78		0					sp. n., 1 slide, Paratype.  JHFischthal-737.	
1	1	1	{AAD3033C-8A0C-11D2-A88F-0080296707ED}		76418	ISRAELENSIS	PODOCOTYLE (PEDUNCULOTREMA)	INCISUS	POMADASYS	DIGENEA	SM INTESTINE							ASIA	ISRAEL,JAFFA										VOUCHER	M1331-5/7;Sh223:8-58/59	FISCHTHAL, J H	31-Jul-79	FISCHTHAL, J H	16-Mar-81		0					5 slides. Pub 1982, Proc Helm Soc Wash 49:34-44.	
1	1	1	{AAD283E8-8A0C-11D2-A88F-0080296707ED}		41292		POLYDELPHIS (HEXAMETRA)	EXANTHEMATICUS ALBIGULARIS	VARANUS	NEMATODA								AFRICA	MOZAMBIQUE,TETE,KASUMBADEDZA										VOUCHER	4320-C	LOVERIDGE, A	13-Jan-49	LUCKER, J T	22-Sep-50		0					1 vial, females	
1	1	1	{AAD289A6-8A0C-11D2-A88F-0080296707ED}		42736.01		POLYDELPHIS (HEXAMETRA)	CONFLUENTUS =ATROX	CROTALUS	NEMATODA	INTESTINE		CRSchroeder-49					NORTH AMERICA	USA,CA,SAN DIEGO ZOO										VOUCHER	3649-A	SCHROEDER, C R	7-Feb-31	CHITWOOD, B G	14-Apr-36		0					1 vial, vouchers.  CRSchroeder-49.   NOTE Crotalus confluentus is a syn. of C. atrox.	
1	1	1	{AAD29A32-8A0C-11D2-A88F-0080296707ED}		47010		POLYDELPHIS (HEXAMETRA)	RHOBEATUS	CAUSUS	NEMATODA								AFRICA	MALAWI,MT.MLANGE,LIKABULA RIVER										VOUCHER	]4313-A	LOVERIDGE, A	2-Aug-48	LUCKER, J T	29-Sep-50		0					1 vial.  Original locality: Nyasaland.	
1	1	1	{AAD27370-8A0C-11D2-A88F-0080296707ED}		36999	TEXENSIS	POLYMORPHUS (FALSIFILICOLLIS)	ALBA	CROCETHIA	ACANTHOCEPHALA								NORTH AMERICA	USA,TX,GALVESTON ISLAND										TYPE	372-18	WEBSTER, J D	29-Oct-46	WEBSTER, J D	5-Jul-47		0					sp. n. 1 slide, Type.  Syn of Falsifilicollis.  See Trans Amer Micro. Soc 67: 66069.	
1	1	1	{AAD2EF9C-8A0C-11D2-A88F-0080296707ED}		71510	CETACEUM	POLYMORPHUS (P.)	BLAINVILLEI	PONTOPORIA	ACANTHOCEPHALA	STOMACH							SOUTH AMERICA	URUGUAY,PUNTA DE DIABLO										VOUCHER	1065-3/5	BROWNELL, R L, JR; WESS, R	1969	SCHMIDT, G D; DAILEY, M D	1970		0					3 slides.  NEW HOST RECORD. NEW LOCALITY RECORD OUTSIDE AUSTRALIA.  Pub 1971, Proc Helm Soc Wash 38:137.	
1	1	1	{AAD3110F-8A0C-11D2-A88F-0080296707ED}		79924	BOTULUS	POLYMORPHUS (PROFILICOLLIS)	CLANGULA	BUCEPHALA	ACANTHOCEPHALA								NORTH AMERICA	CANADA,B.C.,VANCOUVER										VOUCHER	M1480-19/20	CHING, H L	Mar-87	CHING, H L	16-Jul-87		0			Acanthella male, female		2 slides, acanthella, male, female. Pub Proc Helm Soc Wash.	
1	1	1	{AAD31110-8A0C-11D2-A88F-0080296707ED}		79925	BOTULUS	POLYMORPHUS (PROFILICOLLIS)	OREGONENSIS	HEMIGRAPSUS	ACANTHOCEPHALA								NORTH AMERICA	CANADA,B.C.										VOUCHER	M1480-21	CHING, H L	20-Apr-87	CHING, H L	16-Jul-87		0			Cystacanths		1 slide, cystacanths, 2 females, 2 males.  Pub. Helm Soc Wash.	
1	1	1	{AAD2D1A9-8A0C-11D2-A88F-0080296707ED}		62941	FORMOSUS	POLYMORPHUS (PROFILICOLLIS)		DUCK, DOMESTIC	ACANTHOCEPHALA	SM INTESTINE							ASIA	TAIWAN,HUA-LIEN PREF,HUA-LIEN										HOLO/ALLOTYPE	958-13	KUNTZ, R E	19-Sep-58	SCHMIDT, G D	1967		0					sp. n., 1 slide, Holotype male & Allotype female.	
1	1	1	{AAD2D1AA-8A0C-11D2-A88F-0080296707ED}		62942	FORMOSUS	POLYMORPHUS (PROFILICOLLIS)		DUCK, DOMESTIC	ACANTHOCEPHALA	SM INTESTINE							ASIA	TAIWAN,HUA-LIEN PREF,HUA-LIEN										PARATYPES	958-14/16	KUNTZ, R E	19-Sep-58	SCHMIDT, G D	1967		0					sp. n., 3 slides, Paratypes.	
1	1	1	{AAD2D1AB-8A0C-11D2-A88F-0080296707ED}		62943	FORMOSUS	POLYMORPHUS (PROFILICOLLIS)		DUCK, DOMESTIC	ACANTHOCEPHALA	SM INTESTINE							ASIA	TAIWAN,CHANG-HUA PREF,PU-YEN										PARATYPE	958-17	KUNTZ, R E	20-Jun-59	SCHMIDT, G D	1967		0					sp. n., 1 slide, Paratype.	
1	1	1	{AAD32888-8A0C-11D2-A88F-0080296707ED}		52269		POLYMORPHUS (Profilicollis)	CRECCA	QUERQUEDULA	ACANTHOCEPHALA			HJVanCleave-1976.1					ASIA	CHINA,Biejing										VOUCHER	Sh223:26-78	FAUST, E C	8-Apr-21	VAN CLEAVE, H J			0					1 slide, vouchers.  VC-1976, 1 male	
			{C1F3726F-0A8E-11D6-B4C4-00B0D02BC4B2}		91999	ALTMANI	POLYMORPHUS (Profilicollis) cystacanth	ANALOGA	EMERITA	ACANTHOCEPHALA	HEMOCOEL		LRoyal-30/22,9h		Ethanol (70%)	Carmine	Permount (Rehab.)	NORTH AMERICA	USA,CA,BODEGA BAY,Salmon Creek					N				W	VOUCHER	M1800-5	ROYAL, L	Jul-99	ROYAL, L	27-Dec-01	211	0		1/16/02	Cystacanth		1 slide, cystacanth #30/11, 9h.  Sent in by Judy Sakanari.  Pub Calif. Fish & Game: in press	
